lastLogin,robohashLink,energy,speed,attack,defence,money,level,hp
163,https://robohash.org/herp10.png,100,10,5,5,100,1,50
163,https://robohash.org/herp10.png,80,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,30.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,1000.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,950.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,900.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,850.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,800.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,750.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,700.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,650.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,600.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,550.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,500.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,450.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,400.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,350.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,300.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,250.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,200.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,150.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,100.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,50.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,0.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,-50.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,10000.0,10,5,5,250.0,1,50
163,https://robohash.org/herp10.png,9980.0,10,5,5,400.0,1,50
163,https://robohash.org/herp10.png,9960.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9960.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9960.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9960.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9960.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9960.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9910.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9860.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9810.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9760.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9710.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9660.0,10,5,5,550.0,1,50
163,https://robohash.org/herp10.png,9655.0,10,7.0,5,530.0,1,50
163,https://robohash.org/herp10.png,9650.0,10,10.0,5,510.0,1,50
163,https://robohash.org/herp10.png,9645.0,10,14.0,5,490.0,1,50
163,https://robohash.org/herp10.png,9640.0,10,14.0,7.0,470.0,1,50
163,https://robohash.org/herp10.png,9635.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9635.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9585.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9535.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9485.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9435.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9385.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9335.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9285.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9235.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9185.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9135.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,9085.0,14.0,14.0,7.0,450.0,1,50
163,https://robohash.org/herp10.png,8530.0,14.0,14.0,7.0,765.0,1,50
163,https://robohash.org/herp10.png,8510.0,14.0,14.0,7.0,915.0,2.0,50
163,https://robohash.org/herp10.png,8490.0,14.0,14.0,7.0,1065.0,3.0,50
163,https://robohash.org/herp10.png,8490.0,14.0,14.0,7.0,1065.0,3.0,50
163,https://robohash.org/herp10.png,8455.0,14.0,14.0,7.0,1120.0,3.0,50
163,https://robohash.org/herp10.png,8455.0,14.0,14.0,7.0,1120.0,3.0,50
163,https://robohash.org/herp10.png,8430.0,14.0,14.0,7.0,1145.0,3.0,50
163,https://robohash.org/herp10.png,8405.0,14.0,14.0,7.0,1170.0,3.0,50
163,https://robohash.org/herp10.png,8380.0,14.0,14.0,7.0,1195.0,3.0,50
163,https://robohash.org/herp10.png,8360.0,14.0,14.0,7.0,1345.0,4.0,50
164,https://robohash.org/herp10.png,100,14.0,14.0,7.0,1345.0,4.0,50
164,https://robohash.org/herp10.png,100,14.0,14.0,7.0,1345.0,4.0,50
